id,original_text,corrected_text,error_types,error_details,grade,topic,source,word_count,timestamp
1,"Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.","Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.",no_error,Câu đúng,10,Kỷ niệm đáng nhớ thời học sinh,synthetic,76,2024-01-15
2,"Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn tgiường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.","Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.",spelling,"r->gi, r->gi, gi->r",11,Kỷ niệm đáng nhớ thời học sinh,synthetic,76,2024-01-15
3,"Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu riễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.","Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.",spelling,d->r,11,Kỷ niệm đáng nhớ thời học sinh,synthetic,76,2024-01-15
4,"Tdong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.","Trong suốt ba năm học THPT, kỷ niệm đáng nhớ nhất của em là lần tham gia hội thi văn nghệ toàn trường. Lúc đó, lớp em đã tập luyện vất vả suốt một tháng trời. Chúng em biểu diễn bài hát về tình bạn và giành giải nhất. Khoảnh khắc nghe tên lớp được xướng lên, cả lớp đã ôm nhau vui sướng. Đó là kỷ niệm đẹp mà em sẽ không bao giờ quên.",spelling,r->d,11,Kỷ niệm đáng nhớ thời học sinh,synthetic,76,2024-01-15
5,"Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn rất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn giúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.","Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn rất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn giúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.",no_error,Câu đúng,11,Kỷ niệm đáng nhớ thời học sinh,synthetic,53,2024-01-15
6,"Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn dất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn rúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.","Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn rất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn giúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.",spelling,"r->gi, gi->d, gi->r",12,Kỷ niệm đáng nhớ thời học sinh,synthetic,53,2024-01-15
7,"Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn giất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn giúp đỡ em chong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.","Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn rất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn giúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.",spelling,"tr->ch, r->gi",10,Kỷ niệm đáng nhớ thời học sinh,synthetic,53,2024-01-15
8,"Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn dất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn rúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.","Em nhớ nhất là ngày đầu tiên vào lớp 10. Khi đó em còn rất bỡ ngỡ và nhút nhát. May mắn thay, em đã gặp được những người bạn tốt luôn giúp đỡ em trong học tập. Chúng em cùng nhau trải qua nhiều kỷ niệm vui buồn suốt ba năm học.",spelling,"gi->r, r->d",10,Kỷ niệm đáng nhớ thời học sinh,synthetic,53,2024-01-15
9,"Người bạn thân nhất của em tên là Minh. Chúng em chơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng giúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.","Người bạn thân nhất của em tên là Minh. Chúng em chơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng giúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.",no_error,Câu đúng,10,Người bạn thân nhất,synthetic,60,2024-01-15
10,"Người bạn thân nhất của em tên là Minh. Chúng em trơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng dúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.","Người bạn thân nhất của em tên là Minh. Chúng em chơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng giúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.",spelling,"ch->tr, gi->d",11,Người bạn thân nhất,synthetic,60,2024-01-15
